trial,time,cursor_x_pix,cursor_y_pix,gaze_x,gaze_y,cursor_x_cm,cursor_y_cm,target_x,target_y
2,42.29168891906738,-137.0,-273.0,-3.1948828125000004,-6.388958333333334,-123.0,-342.300048828125,365.0,262.0
2,42.2987003326416,-118.0,-277.0,-2.751796875,-6.482569444444445,-123.0,-342.300048828125,365.0,262.0
2,42.30571746826172,-101.0,-280.0,-2.3553515625,-6.552777777777778,-123.0,-342.300048828125,365.0,262.0
2,42.31270384788513,-91.0,-282.0,-2.1221484375000004,-6.599583333333333,-123.0,-342.300048828125,365.0,262.0
2,42.319695234298706,-85.0,-282.0,-1.9822265625000002,-6.599583333333333,-123.0,-342.300048828125,365.0,262.0
2,42.3266863822937,-81.0,-283.0,-1.8889453125000002,-6.6229861111111115,-123.0,-342.300048828125,365.0,262.0
2,42.33369565010071,-80.0,-284.0,-1.865625,-6.64638888888889,-123.0,-342.300048828125,365.0,262.0
2,42.34162640571594,-80.0,-284.0,-1.865625,-6.64638888888889,-123.0,-342.300048828125,365.0,262.0
2,42.3487012386322,-80.0,-284.0,-1.865625,-6.64638888888889,-123.0,-342.300048828125,365.0,262.0
2,42.35553216934204,-79.0,-284.0,-1.8423046875000002,-6.64638888888889,-123.0,-342.300048828125,365.0,262.0
2,42.362393856048584,-79.0,-285.0,-1.8423046875000002,-6.669791666666667,-123.0,-342.300048828125,365.0,262.0
2,42.36934804916382,-77.0,-286.0,-1.7956640625000002,-6.693194444444445,-123.0,-342.300048828125,365.0,262.0
2,42.375816345214844,-76.0,-286.0,-1.77234375,-6.693194444444445,-123.0,-342.300048828125,365.0,262.0
2,42.38339138031006,-73.0,-288.0,-1.7023828125000002,-6.74,-123.0,-342.300048828125,365.0,262.0
2,42.39037036895752,-70.0,-289.0,-1.6324218750000001,-6.763402777777778,-123.0,-342.300048828125,365.0,262.0
2,42.396488428115845,-68.0,-290.0,-1.5857812500000001,-6.786805555555556,-123.0,-342.300048828125,365.0,262.0
2,42.40348291397095,-65.0,-292.0,-1.5158203125000003,-6.833611111111112,-123.0,-342.300048828125,365.0,262.0
2,42.410393476486206,-62.0,-294.0,-1.4458593750000002,-6.880416666666667,-123.0,-342.300048828125,365.0,262.0
2,42.417396545410156,-60.0,-296.0,-1.3992187500000002,-6.927222222222222,-123.0,-342.300048828125,365.0,262.0
2,42.42439842224121,-59.0,-297.0,-1.3758984375,-6.9506250000000005,-123.0,-342.300048828125,365.0,262.0
2,42.43069338798523,-58.0,-299.0,-1.3525781250000002,-6.997430555555556,-123.0,-342.300048828125,365.0,262.0
2,42.438356161117554,-57.0,-301.0,-1.3292578125,-7.044236111111111,-123.0,-342.300048828125,365.0,262.0
2,42.444756269454956,-57.0,-302.0,-1.3292578125,-7.067638888888889,-123.0,-342.300048828125,365.0,262.0
2,42.45256757736206,-57.0,-304.0,-1.3292578125,-7.114444444444445,-123.0,-342.300048828125,365.0,262.0
2,42.459354639053345,-56.0,-306.0,-1.3059375000000002,-7.161250000000001,-123.0,-342.300048828125,365.0,262.0
2,42.466569900512695,-56.0,-307.0,-1.3059375000000002,-7.184652777777778,-123.0,-342.300048828125,365.0,262.0
2,42.473345041275024,-56.0,-309.0,-1.3059375000000002,-7.231458333333334,-123.0,-342.300048828125,365.0,262.0
